sailnumber	name	type
ITA/ITA15870	FAREWELL3	COMET 45 S
ITA/ITA3054	FARFALLINA	FARR 30
ITA/ITA234M32	FARFALLINA	MELGES 32
ESP/POR2000	FAROFINO	MUM 30
ARG/ARG5560	FAROLERO	REGGE 35
ITA/ITA11758	FAROUCHE	FIRST 30 E
FRA/FRA7057	FARR OUEST	FARR 727
NED/NED7352	FART	Winner 950x1.30
FRA/FRA43619	FAST AND FURIOUS	FIRST 310 DK "S"
ESP/ESP450_C	FAST FELSON	MINI ZERO 650
NED/NED5524	FAST FORWARD	F & F 30 S
NED/NED65	FAST FORWARD	F & F 65 STD
ESP/ESP10499_C	FAST SPIRIT	BAVARIA 49
ITA/ITA347	FASTER 2	FIRST 34.7
GER/GER5892	FATHER'S JOY	J-92S
FRA/FRA9602	FAUVE	DUFOUR 44 Perf
ITA/ITA16523	FAVELA BLANCA	FIRST 36.7
ITA/ITAFAVOB	FAVOLA BLU	SUN ODYSSEY 43
MNE/RUS2775	FAVORIT PLUS	FARR45
TUR/TUR21907	FB 4	PLATU 25 OD
TUR/TUR31907	FB 5	PLATU 25 OD
USA/184	FEARLESS	MELGES32
ITA/ITAFEDER	FEDERICA	MOUSSE 907
FRA/FRA38116	FEELING GOOD	FIRST 36.7 Le
ESP/ESP5291	FEHURIHI	RO 300
GER/GER7355	FEINSCHLIFF	F & F 95 MODIF
BRA/BRA2803	FELCIUNO	FELCI 315
GER/GER7424	FELINE	J-122 (DK)
ESP/ESP6409_C	FELIPEVA IV	SUN FAST 43
ESP/ESP10044	FELIPEVA VI	XP-44
NED/NED9446	FELIX	IMX 38 DK (3)
ITA/ITAFELIXO	FELIX	DEHLER 38
ITA/ITA17074	FELIX	GIB SEA 312
NOR/NOR12555	FEM	X-37
ESP/FRA17871	FEND-LA-BISE	ILC 30
ESP/ESP3332_C	FENICIA II	SUN FAST 31
ITA/ITA15817	FENOMENO	FIRST 31.7
ESP/ESP7273	FERRER Y GARCIA	X-37
ITA/ITA14515	FERROFILATO	FIRST 405
ESP/ESP4407	FETCH	FIRST 325
ESP/ESP4407_R	FETCH	FIRST 325
ITA/GBR945R	FEVER	SWAN 45
ARG/ARG5520	FICCION	PANDORA 34
NED/NED2947	FIDELTA	She 36
ITA/ITA15406	FIERAMOSCA	NSX 42
ITA/NED8240	FIGARO	FIGARO
ESP/ESP7343	FILIGRANA	DUFOUR 34
GRE/GRE3117	FILINTA	FIRST 31.7
GER/GER7174	FILIPPA	BIANCA 107
GRE/GRE1340	FILIRA	Grand Soleil 37
ESP/ESP5598	FILU	GRAND SURPRISE
GER/GER7561	FINALMENTE	A-35
NED/NED6618	FINNISH	TEMPO
GER/GER6359	FINNJA	IMX-40
ITA/ITA16599	FIORDILUNA	ITALIA 10.98
FRA/FRA9579	FIOUPELAN	ELAN 333 DK Lead
AUS/7775	FIRE FLY	FIRST 40.7
USA/USA50022	FIREFLY	MORRIS 45
ESP/ESP10048	FIRME	GOLFIÑO 7,25
ITA/ITA16356	FIRST FUN	FIRST 35
GER/GER7249	FIRST ONE	FIRST 40.7
NOR/NOR9861	FIRSTLADY	FIRST 40.7
GER/B25142	FISCHERMANN'S	PLATU 25 OD
ITA/ITA3155SB3	FISHBONE	SB20 ONE DESIGN
ITA/ITA13875	FISHBONE	FIRST 40.7
GRE/GRE3141	FISKARDO	OCEANIS 423
ESP/ESP10475_C	FITTI	BAVARIA 44
ITA/ITA11025	FIVE TO SIX	X-3/ TON MK2
GER/X79444	FIXI	X-79 OD
ESP/ESP6639	FIXIUS	FIRST 27.7
ARG/ARG60	FJORD VI	FRERS 43
ITA/ITA12602	FLAMA	BALANZONE
ESP/ESP9134	FLAMENCO	FORTUNA 9
ITA/DEN555	FLED 2	KEELBOAT
GER/GER6116	FLEUR DE MER	ONE-OFF
GER/GER7574	FLIEGE	WASA30 HR RACER
NED/NED6953	FLIN	BH 41 MOD
ESP/ESP10476_C	FLIP 2	VIVA 700
GRE/GRE1378	FLIRT	GRAND SOLEIL 43
GRE/GRE1408	FLORANNA III	HANSE 315
ESP/ESP5090_C	FLOUNDER	BAVARIA 34 CRUISER
FRA/GBR1010	FLOWER POWER	MAT 1010 (N°001)
ITA/ITA17162	FLY AGAIN	GRAND SOLEIL 37 BC
GER/GER6909	FLYER	ONE OFF
ITA/GBR6770R	FLYING DRAGON	SWAN 70 RK
USA/35029	FOGDOG	ONE DESIGN 35
ITA/ITA369J24	FOLAGA	J-24
ESP/ESP4743_C	FOLELÉ	FIRST 260 SPIRIT
ITA/ITA16250	FOLLIABLU 2	ELAN 450
ITA/ITA15417	FOMALHAUT	FIRST 36.7
FRA/FRA24489	FONBADET	X-99
NED/NED3161	FOOLPROOF	1/4 Ton
FRA/FRA39048	FORCE 7	FIRST 31.7 DK
ITA/MON009	FORCE 9 OF LONDON	SWAN 65
ITA/ITA13926	FOREVER YOUNG	J-92
ESP/ESP1474_C	FORMIDABLE	DRAC ONE TON
NED/NED27	FORMIDABLE	A.C.
EST/EST475	FORTE	X-41
GER/GER6871	FORTISSIMO	DEHLER 38 C
NED/NED2965	FORTUNE	Pion (OOD)
NOR/NOR15039	FORZA	Grand Soleil 39
ITA/ITA16857	FORZA 4	DUFOUR 36 P
ESP/ESP5891_C	FOSC	SUN FAST 37 
FRA/FRA15723	FOU	747
ITA/FRA1	FOUNET	IMX-38
ITA/ITA950	FOXY LADY	X-35
ITA/ITA12240	FRA DIAVOLO	X-119 CUSTOM KEEL
AUS/GBR5211L	FRANTIC	TP 52
ITA/KSA400	FRECCIA DEL CHIENTI	FARR 400
GER/GER6613	FREDFISHER	VARIANTA 44
ITA/ITAFREEI	FREE IN THE WIND	BAVARIA 46 CR
ITA/ITA13398	FREE LANCE	X-332
ITA/ITA15202	FREE SPIRIT	FIRST 44.7
ITA/ITA14617	FREE SPIRIT	FIRST 40.7
ITA/ITA10869	FREEDOM	IOR ONE TON
ITA/ITA073UFO22	FREEDOM	UFO 22
GER/GER7108	FREIZHEIT	JPK 10.10 
ITA/ITA109	FREMITO D'ARJA	J-109
GER/GER3084	FREYA	ONE OFF
ITA/FRA40	FREYJA	ELAN 40
NOR/NOR6854	FRI	SADLER 34
NOR/NOR14202	FRI FLYT	First 44.7
GER/GER7206	FRIDA	JPK 10.80
JPN/JPN6033	FRIENDS	YAMAHA 30S N
SUI/SUI52	FRIENDSHIP	Xp-33
ITA/ITA049UFO22	FRISBEE	UFO 22
ITA/ITA638MET	FRITTATINA	METEOR
ITA/ITA13113	FRIZZ	ELAN 36
ESP/ESP7543_C	FRONKONSTIN	GRAND SURPRISE
GER/GER4930	FRU HANSEN	HANSE 371
SUI/SUI9	FRÖYA	8mIR
NOR/NOR12144	FS 2	First 34.7
ITA/ITAFUERTE	FUERTE VENTURA	J.O.D. 35
ESP/ESP6289_C	FUERZA 4	SUN FAST 37
ARG/ARG5454	FUERZA DELTA	PANDORA 31
NED/NED4332	FUGA	Victoire 855x1.20
FRA/FRA27958	FUGUE	X-37 Sport
JPN/JPN6320	FUHTA DE PASSER	VITE 31BK
GER/M3422	FULL MOON	M 34
GER/M3422	FULL MOON	M 34
POR/POR4508	FUNBEL	FIRST 45
ITA/ITA561FUN	FUNTANTOSESSO	FUN OD
ITA/ITAFUOTE	FUORI DI TESTA	SPRINT 95
ITA/ITA20	FURIA	ITALIA 12.98
ITA/EUR36009	FURIETTA	SOLARIS 36 OD
NOR/NOR14100	Facile	Dufour 425 GL
SLO/SLO1414	Fado	Salona 37 RK
NED/NED8529	Fair Wind	FIRST 27
NED/NED8352	Fairwinds	Winner 12.20
NED/NED7615	Fall For	F & F 915
NED/BEL1206	FarFelu	F & F 915
RSA/SA1335	FarMed	Miura
RSA/RSA1665	Faraway	Farr 38 mod.
NED/NED6140	Farouche	Sun Fast 32 (DK)
NOR/NOR7000	Farr out	ONE TON
NOR/NOR11128	Farr well	Farr 31
NED/NED1210	Farrwell	Laser 28
NOR/NOR11968	Farvide	First 44.7
NOR/NOR11142	Fast Born	Performance 35
NED/NED4698	Fast Food	F & F 95
NED/NED199	Fast Four	FF 35 S
DEN/DEN8	FeOs	GRAND SOLEIL 43 R
NOR/NOR15924	Feelgood	Arcona 430
RSA/SA3900	Feisty	Leisure 42
NOR/NOR11470	Felicia	Hanse 312 dyp kjøl
NOR/NOR10528	Felicia 	FIRST 36.7
NOR/NOR15518	Felicia IV	Bavaria 44 Vision
RSA/RSA007	Felix The Cat	Pacer 27 Sport
NOR/NOR15007	Felizia	Sun Od 40
NED/NED8441	Feniks	Brise de Mer 34
NOR/NOR4665	Ferdinand II	PRETORIEN 35
NED/NED8513	Festa	Bavaria 36
NED/NED5033	Fianchetto	F & F 65 STD
AUS/5200	Fifty Two Hundred	T/PAC 52
CAN/34473	Final Dash	Dash 34
NOR/NOR15388	Finally	Hanse 342
BUL/BUL412	Finoor S	Hallberg Rassy 412
NED/GBR8532	Firestorm	J-109
RUS/RUS5500	First	FIRST 40.7
RSA/RSA734	First Lady	First 345
NOR/NOR9099	First One	First 33.7 dyp kjø
NED/NED7867	First Sight	First 36.7 X 1.80
NED/NED6981	First by Farr	First 36.7
NOR/NOR11754	FirstPrice	FIRST 40.7
NOR/NOR3216	Fjordfryd	X-102
RSA/GBR311	Flame	Cape 31
USA/USA60701	Flash Mob	DUNCANSON PS8
NOR/NOR13697	Flash V	First 40
NED/NED4892	Flecha	F & F 95 STD
NED/NED8432	Flevomare 01	J-70
NED/NED7462	Flicka	Etap 21I
NED/NED8915	Fliere Fluiter	F&F 1100
NED/NED8427	Flirt	First 40
NOR/SWE56	Flow	Dehler 34 SV
NOR/NOR5790	Flugt VI	HR 29
DEN/DEN69	Flux II	IMX-40
NED/NED8374	Flyer	Friendship 34
NED/NED8954	Flyer	Hunter 28,5
NED/NED4937	Flyer	DEHLER 39
NED/NED7935	Flying Dolphin	Dufour 40 x 2.10
NOR/NOR15461	Flying Scotsman	Sun Fast 3600
NOR/NOR5785	Flyvepappen	X-79 OD
UKR/UKR525	Foros	Neva
NOR/NOR12106	Fortissimo 	First 31.7 LR
NOR/NOR10168	Fortitude	FIRST 40.7
NOR/NOR10003	Forza	GRAND SOLEIL 40 C
NED/NED6332	Four Leaf	Dehler 38 SD
NOR/NOR11713	Four To Match	Bavaria 42 Match
NOR/NOR2	Foxy Siss	X-35 OD
NED/NED8708	Fram	FRIENDSHIP 28 
NOR/SH15283	Framtia	XP-44
NOR/NOR15283	Framtia	XP-44
NED/NED900	Frats	Winner 9Perf 
NOR/NOR4673	Fredrikke II	ALBIN NOVA
NLS/NED8345SH	Free Bird	First 45
RSA/RSA250	Freedom	Farr 38
NED/NED8567	Freya	Winner 900
NOR/NOR12296	Fri Flyt	Hanse 370E
NOR/NOR7331	Fri da'	CB 33
NOR/NOR14370	Fri vind	Hanse 342
NOR/NOR14906	FriFlyt	Hanse 355
NOR/NOR7051	Frida	SCANMAR 345
NOR/NOR12065	Frida	Sun OD 39i
NED/NED7634	Frihet	Bumerang 32
NOR/NOR14633	Friskus VI	Hanse 445
NOR/NOR9840	Frisnes	GRAND SOLEIL 40 C
NOR/NOR10240	Fritt Fram!	FIRST 40.7
NOR/NOR9723	Fryd	LINJETT 33
NOR/NOR11102	Frøken Smilla	FIRST 40.7
NOR/NOR2337	Frøya	Albin 78 Cirrus
CAN/28077	Fugitive	Farr 1220
CRO/CRO2540	Fugu	First 30
NED/NED1974	Full Grown Man	Pion (OOD)
USA/97925	Fully Involved	B25
NED/NED7604	FunX	X-362 sport
NOR/NOR9558	Furia III	X-442 Mk II
NED/NED7756	Furie	Sprinta
ISR/ISR403	Fury	Oceanis 40
NED/NED9002	Fuut	Dehler 29
NED/NED8833	Fuxels	X-79
NOR/NOR14812	Fykan	Salona 38
GER/EX270	FÖRDE XPRESS	EXPRESS
NOR/NOR96	FØNIX	EXPRESS
AUS/099	G.O.	COOKSON 12
GRE/RUS030	GAGARIN	FIRST 47.7 (SK)
FRA/FRA38436	GAIA	A-31Bulb Keel
NED/NED9532	GAIA	SWAN 53
ITA/ITAGAIAP	GAIA	HANSE 370e
ESP/ESP7204	GALACTICA	BAVARIA 35 MATCH
ITA/ITA17410	GALACTICA	NELSON 46
ITA/GBR1775	GALAHAD	CUTTER BERMUDIANO
ITA/ITA15821	GALANA RIVER	SUN ODYSSEY 37.1
TUR/TUR3125	GALATASARAY YELKEN 2	SB20 ONE DESIGN
GRE/GRE2710	GALENA	NEREIS 32stern ext
ITA/ITA16886	GALEONE	GRAND SOLEIL 34
GRE/GRE1014	GALINI	SUN ODYSSEY 36.2
FRA/FRA38934	GALUDAJO II	DEHLER 29 SK Cruis
ESP/ESP7860	GALVESTOWN	PROTO 25
ITA/ITA1556SU	GAMBERETTO	SURPRISE
GER/B25461	GAMBERRO	PLATU 25 OD
NOR/NOR15102	GAMBLER	GRANADA 32
ESP/ESP5119	GAMEZ PINAZO	FARR PLATU 25
ITA/ITA009	GAMISEL	UFO ONE DESIGN
ISR/ISR72	GANT	X-35 OD
NED/GER4392	GANXO	X-99
ESP/ESP10054_C	GAROLA III	JOUET 33 FANDANGO
ITA/ITA12871	GAROPERA INSIDER	ESTE 24
ARG/ARG4675	GARRAS	FAYD 30
RUS/RUS655	GASTION	FIRST 40.7
ITA/ITA14222	GASTONE	BAVARIA 36
ESP/ESP10003_C	GATTACA	SERVIOLA 23 
ITA/ITA6376	GATTAMELATA	COMET 770
ESP/ITA12405_C	GATTO BOTTIGLIA	X 372
ARG/ARG4400	GAUCHO	SOTO 40
ARG/ARG002	GAUCHO	S 33
ESP/ESP10215_C	GAUDIO	SUN ODYSSEY 35
ITA/ITAGAVIA	GAVIA	ELAN 37
ESP/ESP9603	GAVILAN V	FURIA 37 J
FRA/FRA37997	GAYA	A-31 Bulb Keel 2r
ESP/GBR3450_C	GAÑAFOTE	SB 20
NED/NED8855	GBI van Dijk bouw en tec	Maxfun 25
NED/NED6935	GBR-1	J.O.D. 35
ITA/ITA17095	GEBEL	SUN ODYSSEY 43
ITA/ITA14999	GEEX	VROLJK 37
JPN/JPN5955	GEFION	BALTIC 35
ITA/ITA388M24	GEMELL	MELGES 24 OD
GER/EX257	GEMMA XPRESS	EXPRESS
ESP/ESP3010	GENIO	FIRST 35S5 (BK)
GER/GER7329	GER 29	MAK7 RACE
GER/J80617	GERDA M	J-80 OD
GER/GER468	GERMANIA 6	ONE OFF
GER/GER6479	GERONIMO	BAVARIA 35 MATCH
ITA/ITA881	GERONIMO	FIRST 235
ITA/ITA17367	GHIRIBIZZO	DUFOUR 40 PERFORM.
ITA/ITA12034	GHITA	DEHLER 36
ARG/ARG4741	GHOST	FM 980
POR/POR8155	GIANZO 	GRAND SOLEIL 40R
ESP/ESP9362	GIDA III	GRAND SOLEIL 43 SD
ITA/ITA718SU	GIGI 1	SURPRISE
ITA/ITA17384	GIGLIO ROSSO	EXPLORER 20
SUI/SUI17	GILBERTE J	J-97 SD
FRA/FRA35387	GILOLO	SUN FAST 3200 Sdt
SUI/SUI10	GINGER	MARTEN 49
ITA/ITAGINNY	GINNY	SUN ODYSSEY 29.2
ITA/ITA17385	GIOC'ONDA 2	DUFOUR 44 P
ITA/ITA5606	GIOCONDA	IMPALA 35
ITA/ITA172M32	GIOGI	MELGES 32 OD
ITA/ITA17082	GIOIA DI VIVERE	XP-38
GRE/GRE49226	GIORGINO	MAXI 84
GRE/GRE1290	GIORGIO	ELAN 40 SD FK
ITA/ITAGITANA	GITANA	FIRST 36.7
ITA/ITA14502	GIUBA	GRAND SOLEIL 463
ITA/ITAGIULI	GIULIA	ELAN 33
ITA/ITA15420	GIUMAT+2	MILLENIUM 45
ITA/ITA4150	GIVE ME FIVE	ARYA 415
GRE/GRE5296	GLAFKI II	MISTRAL 31
GRE/GRE4999	GLAFKI III	ONE-OFF
GRE/GRE49227	GLAROS II	FIRST 38
GER/GER4014	GLASHÄGER	VO60 2.5TWASSERBAL
ITA/ITA13069	GLOBULO ROSSO	ESTE 31
GER/GER6943	GLÜXKIND	X-362 SPORT
ITA/ITA122UFO22	GMT	UFO 22
GER/FII75	GNARALOO	FIGARO 2
NED/NED1745	GOD en GODIN	ONBEKEND
ITA/ITAGOGGO	GOGHI GO	RIMAR 36
ESP/ESP4840	GOLAFRE II	FIRST 33.7
POR/POR8119	GOLFINHO M2	FIRST 33.7
SUI/SUI3015	GOOD DAY SUNSHINE	SUNBEAM 30.1
ITA/ITA18000	GOOD JOB GUYS	WALLY 60
ESP/GBR3551L_C	GORDI	SUN ODYSSEY 379
GRE/GRE62	GORGO	NEK 26 - DOLPHIN
NED/NED4573	GOTCHA	Spirit 28
FRA/FRA15021	GOUDURIX 5	JOD 35
FRA/FRA9406	GOUDURIX 6	FIRST 36.7 Le
NED/NED3473	GOUDVIS	Waarschip 1010x1.9
NED/NED5367	GOURA VICTORIA	Sun Rise 34
GER/GER6885	GRACE	X-332
ITA/ITAGRAFF	GRAFFIO VITA SOL	PROTEUS 90 MOD.
ITA/ITA15376	GRAFITE	FIRST 36.7
NED/NED6567	GRAND SLAM	Grand Soleil 40
ITA/ITA14643	GRANDE CESARE	GRAND SOLEIL 40 SD
ITA/ITA14797	GRANDE VENTO	BAD 27
ESP/ESP4990	GRANELL	FIRST 40.7
GRE/GRE88	GRANMA X	IMX-38
GRE/GRE1574	GREAT ESCAPE	SUN ODYSSEY 37.1DK
AUS/6343	GREAT XPECTATIONS	X 43
ARG/ARG4111	GREEN PEPPER	PANDORA 31
GER/7KR309	GRETA	7 KR
USA/USA87526	GREY GHOST	ZAAL 38
GER/GER5882	GREYHOUND	SPRINTA-SPORT OD
ESP/ESP4418_C	GRIEGO	FIRST 42 S7 (DK)
NED/NED6428	GRIEL	Dehler 39
ESP/ESP6862	GRIFO	FIRST 27.7
ITA/ITA11660	GRIFONE BIANCO	COMET333
ITA/ITA71104	GRILLO PARLANTE	MYLIUS 76 DS
FRA/FRA14731	GRIOTTINE	SHAMROCK MK2 mod
FRA/FRA28144	GRISETTE	FIRST 40.7 Ra DK
ESP/ESP8871_C	GRISOL	OCEANIS 31 DK
ITA/ITA11058	GRIZZLY TOO	X-372
ESP/ESP8623	GROP III	GRAND SOLEIL 40 SD
GER/GER7442	GROTE BIM BAM	DE RIDDER 30'
ARG/ARG3374	GRULLA	COBRA 1000
ESP/ESP1691_C	GRUMETE 	MANZANITA
ESP/ESP5445	GRUPO DOMINGUIS	FIRST 40.7
ITA/ITA17275	GUACAMAYA	HANSE 312
ESP/ESP6790	GUAGUANCO II	FIRST 40.7
ESP/FRA9014_C	GUAIRA	FIRST CLASS 8
ARG/ARG5775	GUALICHO	CORUM 300 CR
ITA/ITA16493	GUARDAMAGO	SUN ODYSSEY 42 I P
ARG/ARG012	GUASON	MATCH 30
ITA/ITA3151	GUASTAFESTE	DELTA 84
ESP/ESP6230_C	GUAYRE II	PUMA 34
ESP/ESP9331_C	GUDUNGEN II	MISTRESS 32 HR
USA/M32174	GUILLOTINE	MELGES 32 ODR
FRA/FRA43733	GUILTY  PLEASURES	SYDNEY 38 OD
ITA/ITAGUIZZ	GUIZZO	ELAN 310
GRE/GRE49004	GULIO	CANADOS 37
ITA/ITA9367	GULLISARA	MINITONNER
NED/NED6636	GULLIVER	Winner 1010 x 1.80
FRA/FRA29053	GUMMO	BONGO 9.60
ESP/ESP7295_C	GURUGU UNO	DUFOUR 40
SUI/SUI024	GUZZI  II	Esse 750
FRA/FRA28738	GWAIHIR VENTURI	DUF 34 P DK Sdt
FRA/FRA35450	GWEZ GWERN	SYMPHONIE DK
GER/GER7429	GYMIR	HANSEAT 70 B
NOR/NOR84	Galactic Viking	Open 60
NOR/NOR13840	Galadriel	Hanse 400e
TUR/TUR3202	Galatasaray Yelken 1	SB20 ONE DESIGN
NOR/SH15611	Galatea	SWAN 48
NOR/NOR15611	Galatea	SWAN 48
NED/NED8739	Galathea	Waarschip 900 plus
ISR/ISR506	Galit	Gibsea 402
NED/NED8959	Gamble	Bavaria 37 SD
AUT/AUT	Ganymed	Solaris One 48
NED/NED8317	Gast Vrij	Dehler 35 CR
CAN/CAN44	Geminis Dream	Sun Odyssey 44
SLO/SLO878	Generali - Assilina III	TP52 - ONE OFF
NED/NED8130	Gesina	Bianca 36
NED/NED8937	Geusje	Dehler 28
AUS/6316	Gezzabelle	Adams 10
NED/Bel15222	Ghost	J-122 (DK)
ISR/ISR555	Ghost 	Grand Soleil 40 BC
AUS/403	Ghost Rider	MC38
CRO/CRO1744	Giordano Bruno	Salona 44
CRO/CZE998	Giulia	Italia 9.98F
NOR/NOR14376	Glede III	Bavaria 35 Cruiser
NOR/NOR11136	Gleden	Maxi 1050
CAN/USA88008	Glory	TP 52
HKG/HKG072	Gnarwhal	Magic 25
CRO/CRO1926	God Speed	Bavaria 50 Cruiser
NED/NED6799	Goeyedag	J-92
USA/USA75	Gold Rush	C&C 115
TUR/TUR7575	Golddigger 	First Class 7.5
POR/POR8601	Golfinho L3	First 50
POL/POL14000	Good Speed	Dufour 34
NED/NED8521	Good Times	Waarschip 1076
HKG/HKG057	Good Vibrations	Magic 25
NOR/NOR15256	Goodtimes	Hanse 370
NED/GBR9410	Gotcha2	J.O.D. 35
NOR/NOR9631	Grand Cru	RUSH 120
NED/NED8155	Grand Cru	Dufour 34
NOR/NOR10002	Grand Tante	GRAND SOLEIL 40 R
NOR/NOR14406	Granuaile	Elan 350 grunn kjø
NOR/NOR15392	Grayce	Hanse 400
CRO/CRO2186	Green Pepper	Salona 34
NED/NED7311	Greyhound	Dehler 39 SQ
NOR/NOR4932	Grid	FENIX
NED/NED8480	Grijze Plaag	Smile
CRO/CRO6482	Gringo 2	A 40
NED/NED7958	Grutto	Winner 1010 x 1,80
RSA/RSA4444	Gryphon	One Off
NOR/NOR11172	Gråtass	Grand Soleil 42 R
NOR/NOR12288	Grøyven	DUFOUR 40 HR
NED/NED2475	Guanabara	Contessa 35
TUR/TUR6362	Guarana - Globit	First Class 7.5
NOR/NOR625	Gullan'go	J-80 OD
NOR/NOR9074	Gunnela	MAGNIFIK MIDGET
NOR/NOR10438	Guttas	Bavaria 44 AC 01-0
ISR/ISR34	Guy-El	Bavaria 34
NOR/NOR14541	Gøy på vannet	HP 1030
GER/GER4640	H.E.A.T	FARR 30
ITA/ITA24537	H2O	BLU SAIL 24
ITA/ITAHDUEO	H2O	FIRST 435
ESP/ESP10366_C	HABANA	FURIA 28
ITA/ITA13750	HACKERX	IMX 40 MOD.
GER/GER7230	HAI	IF-BOAT
GER/GER7382	HAJO	FIRST 31.7
ITA/ITA12711	HAKUNA MATATA	J.O.D. 35
ITA/ITA16469	HAKUNA MATATA	ELAN 333
ITA/ITA15179	HAKUNA MATATA	SUN ODYSSEY 35
ESP/ESP1669	HAKUNA´S	FIRST 40 KB
GER/GER5564	HALBTROCKEN	FIRST 36.7
GER/GER7460	HALBTROCKEN 4.0	X-41
ESP/ESP6651_C	HALCON MALTES	FIRST 35S5 (BK)
DEN/DEN68	HANSEN	X-37
GRE/GRE49331	HAPPY CAPTAIN II	SUNSHINE 36 ST.EXT
ARG/ARG4563	HAPPY HOUR	PANDORA 34
ITA/ITA42042	HAPPY HOUR	SLY 42
GRE/GRE1520	HARA	SUN ODYSSEY 34.2
GRE/GRE899	HARA	ROBERTS 310
GRE/GRE1822	HARA TON ANGELON IV	ELAN 45
POR/POR8300	HARFANG SPIRIT	DEHLERCWS 
GRE/GRE1372	HARIS	DISCOVERY 3000 XT
GER/GER3894	HARLEKIN	LORD HELMSMAN
ESP/ESP5686	HARMATTAN	X 442
GER/GER7279	HARP8	ONE OFF
AUS/B330	HARTBREAKER	Reichel Pugh 46
AUS/M25	HASTA LA VISTA	SYDNEY 38 OD
ESP/ESP10471_C	HATHOR	SERVIOLA 23 
ITA/ITA17165	HAURAKI	FIRST 36.7
GER/GER6198	HAVKARLEN	KASKELOT
GER/GER7392	HAVLYS	AAH 30
NOR/NOR11048	HAVSULE	Bavaria 35 Match
ITA/ITA16354	HAY LIN	FIRST 36.7
JPN/JPN5854	HAYATE	SEAM 31
GER/GER6338	HEAD HUNTER	X-40S
GER/GER7277	HEAVEN 77	DEHLER 38 C
MLT/CZE858	HEBE V	M37
ITA/ITA15398	HECTOR X	X-35
TUR/TUR878	HEDEF YELKEN 8	FIRST CLASS 8
ESP/ESP4155_C	HEGO-AIZE II	VISIERS 35
ARG/ARG2357	HELENE	F&C 44
ITA/ITAHELEN	HELENICA	SUN ODYSSEY 37
GRE/GRE1617	HELIOS	Bavaria B/one
FRA/FRA9480	HERA 3	A-40 Extended Keel
GRE/GRE1744	HERMES 2	POGO 12.50
GRE/GRE1789	HERMES 3	POGO 12.50
ITA/ITA25351	HIGH FIVE BABY	FARR PLATU 25 
GER/GER5335	HIGH YIELD	SWAN 45
ESP/ESP4666	HILBO	NAUTATECH 32
GRE/GRE49618	HIMERA	JAGUAR 27
GER/GER7054	HIMMELBLAU	DEHLER 33 CRUISING
GER/GER7291	HINDEN	JPK 10.10
NED/NED4983	HINDER	ALC 46
ESP/ESP10513_C	HIPPOI UNO	OCEANIS 31 DK
ITA/ITA3023	HIROSHI	MUMM 30
ESP/ESP5670	HISTOLAB	FIRST 40.7
BRA/BRA2510	HOBART	SKIPPER 30 QC
ITA/ITA17368	HOBEL-X	X 362 SPORT
GER/B25141	HONK	PLATU 25 OD
GER/GER1333	HOODED MAN	CONTENTION 30
GER/GER7422	HOPPETOSSE	HANSE 315
GER/GER7268	HOPPETOSSE	OMEGA 30
GER/X99279	HOPPETOSSE	X-99
ITA/ITA13862	HORCA MYTICA	FIRST 40.7
NED/NED5415	HOTSTUFF	F & F 65 STD
GRE/GRE1609	HOY HOY	NORTH WIND 435
ESP/ESP7366	HUAYRA	J 109
ESP/ESP9565_C	HUBA	SUN FAST 3200 Sdt
ESP/ESP9940	HUBARA	FIRST 32S5 (BK)
ITA/ITA1019J80	HURLY BURLY	J-80 OD
ITA/ITA25148	HURRA'	PLATU 25 OD
GER/ORC746	HUSKY	MINI 650 D2
NOR/NOR11123	HYAK	Dufour 34 Performa
ESP/HKG1998	HYDRA	DK 46
ITA/ITA77777	HYDRA	FIRST 40
SUI/SUI695	HYPNAUTIC	Surprise
ITA/ITA16534	HYPNOTIC	T-34
CAN/USA48006	Ha a' Koa	1D48
NOR/NOR15449	Haffsårkesteret	Arcona 380
NED/NED8215	Hagelslag	SJ 320
KOR/KOR6152	Hakuna Matata 	FIRST 40.7
NED/NED7676	Halvar	Dehler 36 SQ
RSA/SA290	Hamba	Elvstrom 1/4 Ton
SWE/SWE106	Hang Loose	X-35 OD
ISR/ISR114	Hanna	Sonar
NOR/NOR5763	Hanna Marie	OMEGA 34
AUS/6611	Hans Free	Hanse 342
NOR/NOR12247	Hansemann	Hanse 470e
NOR/NOR11642	Happiness	Hanse 400
NOR/NOR8001	Happy	H 323
NOR/NOR9373	Happy	FIRST 40.7
NED/NED8549	Harkelijn	Duetta 94x1.10
AUS/51408	Harlequin	Farr40
USA/USA45	Harm's Way	J-109
NED/NED8494	Hartenvrouw	Winner 950
AUS/5850	Haupia	J35 modified
NOR/NOR6938	Havheksen	MAXI 999
NOR/NOR9155	Havhesten	FIRST 41 S5
NOR/NOR11175	Havkatt	First 31.7 LR
NOR/NOR15014	Havløye	Hanse 385
HKG/HKG2243	Havoc	GP 26
NOR/NOR15383	Heim	APHRODITE 101
NED/NED8961	Helder	Dehler 34
NOR/NOR15168	Helika to	Bavaria 38 Cruiser
NED/NED8083	Hemels van der Hart	Team Heiner 38
NOR/NOR5010	Hera	COMFORTINA 32
NOR/NOR14151	Hera	Dufour 40 Performa
CRO/CRO2528	Heroes	Bavaria CR 41S
NED/NED8187	Hestia	X-43
NOR/NOR12031	Hexedans	X-43
