sailnumber	name	type
FRA/FRA38737	AR LOCA	A-31Bulb Keel
ESP/ESP7627_C	ARAOK	DUFOUR 28
ITA/ITAARAS	ARAS	SUN ODYSSEY 37 LEG
ESP/ESP8333_C	ARAUCARIA	OCEANIS 50 
ESP/ESP8333_R	ARAUCARIA	OCEANIS 50 
ITA/ITA17011	ARCADIA I	SUN ODYSSEY 49iP
AUS/415	ARCH RIVAL	INGLIS/JONES 40
AUS/415	ARCH RIVAL	INGLIS/JONES 40
ESP/ESP9692_C	ARCO IRIS	NAJA 30
GER/GER6373	ARCONIA 4	LUFFE 45
ITA/ITA10755	ARDUINA	COMET 28 RACE
ESP/ESP10290_C	ARELI	NADIR 22
FRA/FRA35988	ARES	A-35
ESP/ESP2881	ARGALLAN	DEHLER 34
ESP/ESP10041	ARGALLEIRO	RO 330 SD
SUI/SUI2147	ARGO	Elan 210
ITA/ITA14887	ARGO	FIRST 44.7
ESP/ESP4920	ARGO NAVIS 3	FIRST 40.7 SD
GRE/GRE49201	ARGONAFTIS II	FIRST 32
GRE/GRE800	ARGONAFTIS V	FIRST 35 S 5
ESP/ESP1274_C	ARGOS	PROTOTIPO CLASICO
ESP/ESP2052	ARGOS	FALCON 9
ITA/ITA13825	ARIA	VISMARA OPEN 45
ITA/ITA753M24	ARIA	MELGES 24 OD
ITA/ITA15323	ARIA	COMET 41S
ITA/ITA12975	ARIA DI BURRASCA	X-332
GRE/GRE1662	ARIADNI	ESPACE 1000
GRE/GRE1796	ARIADNI II	DISCOVERY 3000
ITA/ITA16817	ARIAL	ERYD 30
ITA/ITAARIAP	ARIAPERTA	KEELER 28
AUS/A140	ARIEL	FIRST 40
ITA/ITA538M24	ARIEL	MELGES 24 OD
ITA/ITA17383	ARIEL VELA	X-412
ITA/ITA14033	ARIELE	FIRST 31.7
BRA/BRA2425	ARIES V	DELTA 45
POL/POL2203	ARIETIS	Carter 30
ITA/ITA12576	ARIMINUM	FIRST CHALLENGE
GRE/GRE1071	ARION	FIRST 27
GRE/GRE49722	ARION I	OLYMPIC SEA 42
GRE/GRE1244	ARISTOFANI	COMET 41S (T-Bulb)
GRE/GRE155	ARISTOTELIS	RODMAN 42
ESP/ESP1562_C	ARJAU II	DUFOUR 31
GRE/GRE1749	ARK	SUN ODYSSEY 42.2
AUS/HKG2382	ARK 323	TP 52 B & C
